Date,Time_UTC,Lat_N,Long_E,CI_No,ECP_hPa,Delta_P_hPa,MSW_kt,Category
01.10.2025,1200,22.0,68.3,1.5,1001,3,25,D
01.10.2025,1800,21.5,68.2,1.5,1001,3,25,D
02.10.2025,0000,21.0,68.0,1.5,1001,3,25,D
02.10.2025,0300,20.8,67.9,2.0,1001,3,25,D
02.10.2025,0600,20.8,67.9,2.0,1001,3,25,D
02.10.2025,1200,20.8,67.9,2.0,1001,3,25,D
02.10.2025,1800,20.8,67.7,2.0,1000,4,30,DD
03.10.2025,0000,21.3,67.2,2.0,1000,4,30,DD
03.10.2025,0300,21.5,67.0,2.0,999,5,30,DD
03.10.2025,0600,21.7,66.8,2.5,997,7,35,CS
03.10.2025,0900,21.8,66.6,2.5,997,7,35,CS
03.10.2025,1200,22.0,66.4,2.5,996,8,40,CS
03.10.2025,1500,22.1,66.2,3.0,996,8,40,CS
03.10.2025,1800,22.0,65.8,3.0,994,10,45,CS
03.10.2025,2100,22.0,65.6,3.0,994,10,45,CS
04.10.2025,0000,22.0,65.0,3.0,992,12,50,SCS
04.10.2025,0300,22.0,64.5,3.5,990,15,55,SCS
04.10.2025,0600,21.9,64.2,3.5,990,15,55,SCS
04.10.2025,0900,21.8,63.8,3.5,990,15,55,SCS
04.10.2025,1200,21.7,63.6,3.5,990,15,55,SCS
04.10.2025,1500,21.5,63.0,3.5,990,15,55,SCS
04.10.2025,1800,21.3,62.7,3.5,989,16,55,SCS
04.10.2025,2100,21.1,62.3,3.5,989,16,55,SCS
05.10.2025,0000,21.0,61.8,3.5,987,18,60,SCS
05.10.2025,0300,20.9,61.3,3.5,986,19,60,SCS
05.10.2025,0600,20.7,61.1,3.5,987,18,60,SCS
05.10.2025,0900,20.5,61.0,3.5,988,17,60,SCS
05.10.2025,1200,20.2,60.7,3.5,990,15,55,SCS
05.10.2025,1500,20.0,60.6,3.5,991,14,55,SCS
05.10.2025,1800,19.8,60.6,3.0,992,13,50,SCS
05.10.2025,2100,19.7,60.5,3.0,993,12,50,SCS
06.10.2025,0000,19.7,60.5,3.0,994,11,45,CS
06.10.2025,0300,19.7,60.4,3.0,994,11,45,CS
06.10.2025,0600,19.7,60.3,3.0,995,9,40,CS
06.10.2025,0900,19.6,60.3,3.0,996,8,40,CS
06.10.2025,1200,19.6,60.2,2.5,997,7,35,CS
06.10.2025,1500,19.6,60.1,2.5,998,6,35,CS
06.10.2025,1800,19.5,60.1,2.0,999,5,30,DD
07.10.2025,0000,19.2,60.3,2.0,999,5,30,DD
07.10.2025,0300,19.0,60.5,1.5,1001,4,25,D
07.10.2025,0600,18.9,60.7,1.5,1002,3,20,D

